team,sport,sofa_team_id,sofa_team,dk_team_id,dk_team
Torino,soccer,2696,Torino,85627,Torino
Napoli,soccer,2714,Napoli,87591,Napoli
Cagliari,soccer,2719,Cagliari,87341,Cagliari
Sassuolo,soccer,2793,Sassuolo,87378,Sassuolo
Real Betis,soccer,2816,Real Betis,85594,Real Betis
Barcelona,soccer,2817,Barcelona,85547,Barcelona
Vallecano,soccer,2818,Rayo Vallecano,95462,Vallecano
Villarreal,soccer,2819,Villarreal,85573,Villarreal
Osasuna,soccer,2820,Osasuna,85557,Osasuna
Celta Vigo,soccer,2821,Celta Vigo,85551,Celta Vigo
Real Sociedad,soccer,2824,Real Sociedad,85569,Real Sociedad
Athletic Bilbao,soccer,2825,Athletic Club,85545,Athletic Bilbao
Valencia,soccer,2828,Valencia,85567,Valencia
Real Madrid,soccer,2829,Real Madrid,84086,Real Madrid
Sevilla,soccer,2833,Sevilla,85590,Sevilla
Almeria,soccer,2858,Almería,95840,Almeria
PSV Eindhoven,soccer,2952,PSV Eindhoven,84400,PSV Eindhoven
Sporting Lisbon,soccer,3001,Sporting,88099,Sporting Lisbon
Porto,soccer,3002,FC Porto,84694,Porto
Benfica,soccer,3006,Benfica,84082,Benfica
Cadiz,soccer,4488,Cádiz,302536,Cadiz
Real Salt Lake,soccer,5133,Real Salt Lake,74296,Real Salt Lake
FK Qarabag,soccer,5962,Qarabağ,84487,FK Qarabag
Toronto FC,soccer,7080,Toronto FC,74302,Toronto FC
CF Montreal,soccer,22006,CF Montreal,74314,CF Montreal
Seattle Sounders,soccer,22009,Seattle Sounders FC,74316,Seattle Sounders
Vancouver Whitecaps,soccer,22010,Vancouver Whitecaps,74304,Vancouver Whitecaps
Girona,soccer,24264,Girona FC,302665,Girona
Granada,soccer,33779,Granada,85575,Granada CF
RB Leipzig,soccer,36360,RB Leipzig,87922,RB Leipzig
Philadelphia Union,soccer,39833,Philadelphia Union,74301,PHI Union
Minnesota United,soccer,41618,Minnesota United,74305,Minnesota Utd
Orlando City,soccer,52237,Orlando City SC,74298,Orlando City
NYCFC,soccer,187643,New York City FC,74299,NYCFC
FC Cincinnati,soccer,215167,FC Cincinnati,74317,FC Cincinnati
Atlanta United,soccer,243211,Atlanta United,74308,Atlanta Utd
Inter Miami,soccer,337602,Inter Miami CF,457321,Inter Miami
Nashville SC,soccer,337612,Nashville SC,457319,Nashville SC
Austin FC,soccer,377973,Austin FC,553570,Austin FC
Charlotte FC,soccer,404108,Charlotte FC,615157,Charlotte FC
St.Louis City,soccer,407803,St.Louis City,684585,St Louis City SC
Houston Dynamo,soccer,2508,Houston Dynamo,74295,HOU Dynamo
Manchester United,soccer,35,Manchester United,83669,Man Utd
Crystal Palace,soccer,7,Crystal Palace,83641,Crystal Palace
Bayern Munchen,soccer,2672,FC Bayern München,84079,Bayern Munchen
Portland Timbers,soccer,22007,Portland Timbers,74287,POR Timbers
Sheffield United,soccer,15,Sheffield United,83773,Sheffield Utd
Everton,soccer,48,Everton,83654,Everton
Le Havre,soccer,1662,Le Havre,,Le Havre
Wolves,soccer,3,Wolverhampton,83783,Wolves
SV Darmstadt 98,soccer,2576,Darmstadt 98,543355,SV Darmstadt 98
Fenerbahçe,soccer,3052,Fenerbahçe,,
Viktoria Plzeň,soccer,4502,Viktoria Plzeň,,
GNK Dinamo Zagreb,soccer,2032,GNK Dinamo Zagreb,,
Royale Union Saint-Gilloise,soccer,4860,Royale Union Saint-Gilloise,,
PAOK,soccer,3251,PAOK,,
Servette FC,soccer,2448,Servette FC,,
Maccabi Tel Aviv,soccer,5198,Maccabi Tel Aviv,,
Club Brugge KV,soccer,2888,Club Brugge KV,,
Molde FK,soccer,661,Molde FK,,
Olympiacos,soccer,3245,Olympiacos,,
