,Year,Week,Position,Player,Team,Rank,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON,YACON
450,2021,4,RB,Darrell Henderson Jr.,FA,25,1,14,89,6.4,62,4.4,27,3,1.9,1,0,0,0,3,0,0,0,0,15,5,6,0,27,3
451,2021,4,RB,Nick Chubb,CLE,26,1,21,100,4.8,38,1.8,62,1,3.0,1,0,0,0,2,0,0,0,0,13,1,1,0,62,1
452,2021,4,RB,AJ Dillon,GB,27,1,15,81,5.4,45,3.0,36,7,2.4,2,1,-1,0,1,1,0,0,0,25,1,1,0,36,7
453,2021,4,RB,Michael Carter,ARI,28,1,13,38,2.9,8,0.6,30,0,2.3,0,2,-4,2,1,0,0,0,0,13,1,3,0,30,0
454,2021,4,RB,Trey Sermon,IND,29,1,19,89,4.7,51,2.7,38,0,2.0,0,2,-2,0,1,0,0,0,0,15,0,0,0,38,0
455,2021,4,RB,Mike Davis,FA,30,1,13,14,1.1,1,0.1,13,10,1.0,0,4,-12,0,0,0,0,0,0,8,2,2,1,13,10
456,2021,4,RB,Devin Singletary,NYG,31,1,14,79,5.6,29,2.1,50,1,3.6,1,0,0,0,2,0,0,0,0,15,1,1,0,50,1
457,2021,4,RB,Ronald Jones II,FA,32,1,6,25,4.2,11,1.8,14,0,2.3,1,0,0,8,0,0,0,0,0,8,0,0,0,14,0
458,2021,4,RB,Jeremy McNichols,WAS,33,1,1,11,11.0,0,0.0,0,40,0.0,0,0,0,0,1,0,0,0,0,11,8,12,0,0,40
459,2021,4,RB,Aaron Jones,MIN,34,1,15,48,3.2,28,1.9,20,12,1.3,1,3,-6,0,1,0,0,0,0,15,3,4,1,20,12
460,2021,4,RB,Chuba Hubbard,CAR,35,1,13,57,4.4,32,2.5,25,8,1.9,1,4,-6,0,2,0,0,0,0,14,2,2,0,25,8
461,2021,4,RB,Melvin Gordon III,FA,36,1,9,56,6.2,30,3.3,26,6,2.9,4,1,-1,0,2,0,0,0,0,14,2,4,0,26,6
462,2021,4,RB,Tony Pollard,TEN,37,1,10,67,6.7,45,4.5,22,0,2.2,1,0,0,0,3,0,0,0,0,18,0,0,0,22,0
463,2021,4,RB,Jamaal Williams,NO,38,1,14,66,4.7,39,2.8,27,0,1.9,3,1,-1,0,1,0,0,0,0,11,0,0,0,27,0
464,2021,4,RB,Javonte Williams,DEN,39,1,7,48,6.9,8,1.1,40,2,5.7,4,1,-3,0,2,1,1,0,0,31,3,3,1,40,2
465,2021,4,RB,Josh Jacobs,GB,40,1,13,40,3.1,20,1.5,20,11,1.5,1,1,-1,0,1,0,0,0,0,10,5,5,1,20,11
466,2021,4,RB,Brandon Bolden,LV,41,1,1,0,0.0,0,0.0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,6,6,2,0,4
467,2021,4,RB,D'Andre Swift,CHI,42,1,8,16,2.0,12,1.5,4,5,0.5,0,2,-3,0,0,0,0,0,0,6,4,6,1,4,5
468,2021,4,RB,Ty Montgomery II,FA,43,1,2,7,3.5,5,2.5,2,2,1.0,0,0,0,0,0,0,0,0,0,5,3,3,0,2,2
469,2021,4,RB,Rodney Smith,FA,44,1,0,0,nan,0,0.0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5
470,2021,4,RB,David Johnson,FA,45,1,5,21,4.2,9,1.8,12,14,2.4,1,0,0,0,1,0,0,0,0,10,3,4,1,12,14
471,2021,4,RB,Miles Sanders,CAR,46,1,7,13,1.9,3,0.4,10,17,1.4,1,1,-4,0,0,0,0,0,0,5,3,3,1,10,17
472,2021,4,RB,Dalvin Cook,BAL,47,1,9,34,3.8,25,2.8,9,6,1.0,0,1,-1,0,2,0,0,0,0,13,2,6,1,9,6
473,2021,4,RB,Kyle Juszczyk,SF,48,1,0,0,nan,0,0.0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4
474,2021,4,RB,Chris Carson,FA,49,1,13,30,2.3,10,0.8,20,1,1.5,0,3,-4,0,0,0,0,0,0,8,1,1,0,20,1
475,2021,4,RB,Tevin Coleman,FA,50,1,4,14,3.5,4,1.0,10,4,2.5,0,1,-1,0,0,0,0,0,0,8,2,2,1,10,4
476,2021,4,RB,Larry Rountree III,FA,51,1,11,31,2.8,14,1.3,17,0,1.5,0,1,-2,0,0,0,0,0,0,9,0,0,0,17,0
477,2021,4,RB,Wayne Gallman Jr.,FA,52,1,6,29,4.8,19,3.2,10,0,1.7,1,0,0,0,2,0,0,0,0,13,0,1,0,10,0
478,2021,4,RB,Malcolm Brown,FA,53,1,8,23,2.9,14,1.8,9,0,1.1,2,0,0,0,0,0,0,0,0,4,1,1,1,9,0
479,2021,4,RB,Damien Harris,FA,54,1,4,-4,-1.0,-5,-1.3,1,9,0.3,0,2,-5,0,0,0,0,0,0,1,2,2,0,1,9
480,2021,4,RB,Mark Ingram II,FA,55,1,6,24,4.0,13,2.2,11,0,1.8,0,0,0,0,1,0,0,0,0,12,0,0,0,11,0
481,2021,4,RB,Marlon Mack,ARI,56,1,10,22,2.2,18,1.8,4,0,0.4,1,3,-9,0,2,0,0,0,0,12,1,2,0,4,0
482,2021,4,RB,Samaje Perine,DEN,57,1,3,7,2.3,5,1.7,2,0,0.7,0,0,0,0,0,0,0,0,0,4,1,1,0,2,0
483,2021,4,RB,Alexander Mattison,LV,58,1,10,20,2.0,5,0.5,15,0,1.5,1,2,-4,0,0,0,0,0,0,6,0,0,0,15,0
484,2021,4,RB,Andy Janovich,FA,59,1,0,0,nan,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,2021,4,RB,Salvon Ahmed,MIA,60,1,3,1,0.3,0,0.0,0,0,0.0,0,2,-3,0,0,0,0,0,0,4,2,2,0,0,0
486,2021,4,RB,Ty Johnson,BUF,61,1,3,1,0.3,-2,-0.7,3,4,1.0,0,1,-2,0,0,0,0,0,0,2,2,2,0,3,4
487,2021,4,RB,Justin Jackson,FA,62,1,3,-4,-1.3,0,0.0,0,5,0.0,0,2,-4,0,0,0,0,0,0,0,4,4,2,0,5
488,2021,4,RB,Jacques Patrick,NYJ,63,1,2,12,6.0,8,4.0,4,0,2.0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0
489,2021,4,RB,Devontae Booker,FA,64,1,1,6,6.0,3,3.0,3,0,3.0,0,0,0,0,0,0,0,0,0,6,1,1,0,3,0
490,2021,4,RB,Jaret Patterson,LAC,65,1,2,1,0.5,0,0.0,1,4,0.5,0,1,-2,0,0,0,0,0,0,3,1,1,0,1,4
491,2021,4,RB,Royce Freeman,DAL,66,1,3,12,4.0,7,2.3,5,0,1.7,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0
492,2021,4,RB,Demetric Felton Jr.,CIN,67,1,0,0,nan,0,0.0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4
493,2021,4,RB,Le'Veon Bell,FA,68,1,4,11,2.8,10,2.5,1,0,0.3,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0
494,2021,4,RB,Dwayne Washington,DEN,69,1,1,5,5.0,0,0.0,5,0,5.0,0,0,0,0,0,0,0,0,0,5,1,1,0,5,0
495,2021,4,RB,Reggie Gilliam,BUF,70,1,1,1,1.0,0,0.0,1,3,1.0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3
496,2021,4,RB,Khalil Herbert,CHI,71,1,3,7,2.3,4,1.3,3,0,1.0,0,1,-1,0,0,0,0,0,0,4,0,0,0,3,0
497,2021,4,RB,Michael Burton,DEN,72,1,1,5,5.0,1,1.0,4,0,4.0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0
498,2021,4,RB,Travis Homer,CHI,73,1,1,5,5.0,1,1.0,4,0,4.0,1,0,0,0,0,0,0,0,0,5,0,0,0,4,0
